Year/Conf,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
isorc,54,64,39,36,32,21,55,31,32,28
ispa,83,132,107,93,55,66,No Info,25,57,No Info
ispass,24,22,24,22,24,20,23,21,33,30
issac,50,43,50,45,44,52,47,51,43,50
isscc,276,257,223,227,228,238,256,No Info,248,247
issre,26,43,21,42,27,38,47,31,55,45
issta,24,26,25,25,35,31,38,36,35,37
iswc,62,57,58,69,67,66,71,69,67,75
itc,107,113,81,81,61,70,61,88,48,58
itng,161,196,250,212,178,167,113,97,No Info,No Info
iui,24,30,31,27,28,33,43,34,47,49
jcdl,71,54,47,45,55,47,50,55,33,26
kdd,102,118,139,121,152,182,159,203,227,208
kr,No Info,69,No Info,53,No Info,58,No Info,65,No Info,49
lcn,61,110,59,49,100,51,51,42,44,57
lctes,21,17,18,18,17,16,16,16,14,12
lics,44,43,43,41,37,60,57,No Info,61,85
mascots,62,36,55,36,58,49,44,45,34,68
mass,145,43,62,60,73,49,62,48,49,35
mdm,29,36,26,30,36,36,30,39,35,39
miccai,237,252,259,251,249,252,263,255,263,228
micro,35,40,52,45,44,40,39,53,61,62
mm,63,62,56,68,58,67,53,69,68,60
mobicom,41,32,30,33,29,32,30,36,38,31
mobihoc,27,45,32,26,25,24,24,40,37,35
mobisec,No Info,No Info,24,14,15,13,No Info,No Info,No Info,No Info
mobisys,24,23,26,27,25,32,47,33,31,31
naacl,72,No Info,75,91,No Info,97,94,No Info,121,112
ndss,17,21,20,24,28,46,49,55,50,61
nips,217,250,262,292,306,370,360,411,403,569
noms,No Info,76,No Info,91,No Info,111,No Info,141,No Info,77
nsdi,27,30,32,29,27,30,38,38,42,44
oopsla,33,33,25,45,61,59,50,52,53,52
osdi,No Info,26,No Info,32,No Info,25,No Info,42,No Info,47
pact,34,32,34,46,35,39,39,37,38,31
percom,28,25,32,28,27,28,30,29,29,25
pldi,45,34,41,41,55,48,46,56,59,48
podc,34,43,30,42,34,35,39,43,48,40
pods,31,28,28,28,25,27,24,21,26,34
popl,36,38,36,39,49,46,43,55,52,59
ppopp,23,25,28,30,26,26,26,46,23,29
psb,47,62,49,48,39,41,38,36,42,49
raid,17,20,17,24,20,18,22,22,28,21
re,41,38,36,26,33,35,42,47,43,44
recomb,37,41,36,42,49,37,32,35,36,16
rss,42,40,39,40,45,60,55,57,49,47
rtas,31,35,32,33,29,30,28,28,27,25
rtss,44,44,44,36,33,35,36,33,42,42
sp,29,28,26,31,34,40,38,44,55,55
sac,319,497,315,364,238,346,328,317,367,252
sacmat,19,20,24,20,16,19,19,21,17,21
saint,18,18,17,14,20,18,No Info,No Info,No Info,No Info
sbac-pad,32,22,21,30,26,36,28,43,26,27
sc,58,65,68,57,77,105,96,86,83,87
sdm,75,77,105,82,86,98,89,120,109,97
sea,No Info,No Info,26,40,36,31,32,32,30,25
sec,36,42,38,25,25,42,31,41,42,27
securecomm,56,36,26,28,23,21,20,39,29,No Info
sensys,25,25,21,25,24,23,21,21,27,21
sigcomm,35,37,27,33,32,31,38,45,40,39
sigir,85,85,80,88,108,98,73,84,70,73
sigmetrics,30,36,27,29,26,31,26,40,32,28
sigmod,128,93,86,133,96,66,90,123,125,137
compgeom,104,102,108,108,128,96,110,140,132,146
soda,139,138,138,135,134,139,135,136,135,146
sosp,25,No Info,23,No Info,28,No Info,30,No Info,30,No Info
sysose,119,79,39,61,56,99,46,52,83,80
spaa,37,35,35,35,35,31,31,30,31,38
srds,29,27,30,32,30,43,21,32,33,39
ssdbm,34,28,41,41,35,35,27,28,29,21
stacs,56,56,55,56,54,58,59,58,60,59
stoc,78,82,79,82,84,89,100,91,93,92
tcc,31,34,35,33,35,36,41,30,52,91
uai,59,72,76,88,101,96,73,94,99,85
ubicomp,29,37,25,32,44,50,76,72,100,100
uist,33,34,33,41,67,56,62,76,70,79
usenix,37,28,31,24,35,32,33,44,47,47
uss,23,27,26,30,35,43,45,67,67,70
vee,19,18,14,16,20,20,18,18,17,13
vr,26,23,21,20,14,95,95,49,113,113
wads,56,No Info,49,No Info,59,No Info,45,No Info,52,No Info
wcci,No Info,18,No Info,No Info,No Info,13,No Info,No Info,No Info,No Info
wimob,86,88,79,109,80,69,111,107,123,97
wowmom,57,100,99,100,112,96,109,84,46,69
wsdm,No Info,24,29,45,32,75,73,63,41,68
www,111,103,105,105,81,107,137,84,131,123
