ID,Country,Contiment
grid.412546.0,United Kingdom,EU
grid.412547.1,United States,NA
grid.412548.e,India,AS
grid.412549.f,China,AS
grid.412550.7,Taiwan,AS
grid.412551.6,China,AS
grid.412552.5,India,AS
grid.412553.4,Iran,AS
grid.412554.3,Czechia,EU
grid.412555.2,United States,NA
grid.412556.1,Switzerland,EU
grid.412557.0,China,AS
grid.412558.f,China,AS
grid.412559.e,Switzerland,EU
grid.412560.4,China,AS
grid.412561.5,China,AS
grid.412562.6,China,AS
grid.412563.7,United Kingdom,EU
grid.412564.0,China,AS
grid.412565.1,Japan,AS
grid.412566.2,Taiwan,AS
grid.412567.3,Japan,AS
grid.412568.c,Japan,AS
grid.412570.5,United Kingdom,EU
grid.412571.4,Iran,AS
grid.412572.7,India,AS
grid.412573.6,Iran,AS
grid.412574.1,India,AS
grid.412575.0,India,AS
grid.412576.3,South Korea,AS
grid.412577.2,India,AS
grid.412578.d,United States,NA
grid.412579.c,Japan,AS
grid.412580.a,India,AS
grid.412581.b,Germany,EU
grid.412583.9,Japan,AS
grid.412584.e,United States,NA
grid.412585.f,China,AS
grid.412586.c,Japan,AS
grid.412587.d,United States,NA
grid.412588.2,South Korea,AS
grid.412589.3,Japan,AS
grid.412590.b,United States,NA
grid.412591.a,South Korea,AS
grid.412592.9,Russia,EU
grid.412593.8,Russia,EU
grid.412594.f,China,AS
grid.412595.e,China,AS
grid.412596.d,China,AS
grid.412597.c,United States,NA
grid.412600.1,China,AS
grid.412601.0,China,AS
grid.412602.3,Saudi Arabia,AS
grid.412603.2,Qatar,AS
grid.412604.5,China,AS
grid.412605.4,China,AS
grid.412606.7,Iran,AS
grid.412607.6,Poland,EU
grid.412608.9,China,AS
grid.412609.8,China,AS
grid.412610.0,China,AS
grid.412612.2,India,AS
grid.412613.3,China,AS
grid.412614.4,China,AS
grid.412615.5,China,AS
grid.412616.6,China,AS
grid.412617.7,South Korea,AS
grid.412618.8,United States,NA
grid.412620.3,Thailand,AS
grid.412621.2,Pakistan,AS
grid.412622.1,United States,NA
grid.412623.0,United States,NA
grid.412625.6,China,AS
grid.412629.a,Ukraine,EU
grid.412631.3,China,AS
grid.412632.0,China,AS
grid.412633.1,China,AS
grid.412634.6,Singapore,AS
grid.412635.7,China,AS
grid.412636.4,China,AS
grid.412637.5,United States,NA
grid.412638.a,China,AS
grid.412639.b,United States,NA
grid.412641.4,India,AS
grid.412642.7,Germany,EU
grid.412643.6,China,AS
grid.412644.1,China,AS
grid.412645.0,China,AS
grid.412647.2,United States,NA
grid.412648.d,China,AS
grid.412651.5,China,AS
grid.412652.6,Lebanon,AS
grid.412653.7,Iran,AS
grid.412654.0,Sweden,EU
grid.412655.1,India,AS
grid.412656.2,Bangladesh,AS
grid.412658.c,Japan,AS
grid.412659.d,Egypt,AF
grid.412660.7,Thailand,AS
grid.412661.6,Cameroon,AF
grid.412662.5,Japan,AS
grid.412664.3,Japan,AS
grid.412665.2,Thailand,AS
grid.412666.1,India,AS
grid.412667.0,Somalia,AF
grid.412668.f,Iran,AS
grid.412670.6,South Korea,AS
grid.412671.7,Iran,AS
grid.412672.4,United States,NA
grid.412673.5,Iran,AS
grid.412674.2,South Korea,AS
grid.412675.3,United States,NA
grid.412676.0,China,AS
grid.412677.1,South Korea,AS
grid.412678.e,South Korea,AS
grid.412679.f,China,AS
grid.412680.9,Croatia,EU
grid.412681.8,Japan,AS
grid.412683.a,China,AS
grid.412684.d,Czechia,EU
grid.412685.c,Slovakia,EU
grid.412686.f,Israel,AS
grid.412687.e,Canada,NA
grid.412688.1,Croatia,EU
grid.412689.0,United States,NA
grid.412690.8,Papua New Guinea,OC
grid.412692.a,China,AS
grid.412694.c,Czechia,EU
grid.412695.d,United States,NA
grid.412696.e,United Kingdom,EU
grid.412697.f,Cuba,NA
grid.412698.0,Japan,AS
grid.412700.0,Poland,EU
grid.412701.1,United States,NA
grid.412702.2,Ireland,EU
grid.412703.3,Australia,OC
grid.412704.4,United States,NA
grid.412705.5,United States,NA
grid.412706.6,United States,NA
grid.412707.7,Egypt,AF
grid.412708.8,Japan,AS
grid.412709.9,United States,NA
grid.412710.1,Serbia,EU
grid.412711.0,United Kingdom,EU
grid.412713.2,United States,NA
grid.412714.5,Argentina,SA
grid.412715.4,United States,NA
grid.412716.7,Sweden,EU
grid.412717.6,Taiwan,AS
grid.412719.8,China,AS
grid.412720.2,China,AS
grid.412721.3,Croatia,EU
grid.412722.0,United States,NA
grid.412723.1,China,AS
grid.412724.6,United States,NA
grid.412725.7,Italy,EU
grid.412726.4,United States,NA
grid.412727.5,Czechia,EU
grid.412728.a,China,AS
grid.412729.b,China,AS
grid.412730.3,Czechia,EU
grid.412731.2,India,AS
grid.412732.1,Poland,EU
grid.412733.0,Canada,NA
grid.412734.7,India,AS
grid.412735.6,China,AS
grid.412737.4,Nigeria,AF
grid.412738.b,Nigeria,AF
grid.412739.a,Thailand,AS
grid.412740.4,Slovenia,EU
grid.412741.5,Syria,AS
grid.412742.6,India,AS
grid.412744.0,Australia,OC
grid.412745.1,Canada,NA
grid.412746.2,India,AS
grid.412747.3,India,AS
grid.412748.c,Grenada,NA
grid.412749.d,Turkey,AS
grid.412750.5,United States,NA
grid.412751.4,Ireland,EU
grid.412752.7,Czechia,EU
grid.412753.6,Germany,EU
grid.412754.1,Japan,AS
grid.412755.0,Japan,AS
grid.412756.3,Italy,EU
grid.412757.2,Japan,AS
grid.412758.d,Czechia,EU
grid.412759.c,Sri Lanka,AS
grid.412760.6,Japan,AS
grid.412761.7,Russia,EU
grid.412762.4,Japan,AS
grid.412763.5,Iran,AS
grid.412764.2,Japan,AS
grid.412765.3,Albania,EU
grid.412766.0,United States,NA
grid.412767.1,Japan,AS
grid.412768.e,Japan,AS
grid.412769.f,Japan,AS
grid.412770.7,United States,NA
grid.412771.6,Nigeria,AF
grid.412772.5,Japan,AS
grid.412773.4,Japan,AS
grid.412774.3,Nigeria,AF
grid.412775.2,Philippines,AS
grid.412776.1,Japan,AS
grid.412777.0,Philippines,AS
grid.412778.f,United States,NA
grid.412779.e,India,AS
grid.412781.9,Japan,AS
grid.412782.a,Pakistan,AS
grid.412784.c,Japan,AS
grid.412785.d,Japan,AS
grid.412786.e,South Korea,AS
grid.412787.f,China,AS
grid.412788.0,Japan,AS
grid.412789.1,United Arab Emirates,AS
grid.412790.9,Brazil,SA
grid.412791.8,Tunisia,AF
grid.412793.a,China,AS
grid.412794.d,Croatia,EU
grid.412795.c,Pakistan,AS
grid.412796.f,Iran,AS
grid.412798.1,Sweden,EU
grid.412799.0,Japan,AS
grid.412800.f,Spain,EU
grid.412801.e,South Africa,AF
grid.412803.c,Japan,AS
grid.412804.b,Japan,AS
grid.412805.a,United States,NA
grid.412807.8,United States,NA
grid.412808.7,Japan,AS
grid.412809.6,Nepal,AS
grid.412810.e,South Africa,AF
grid.412811.f,Germany,EU
grid.412812.c,Japan,AS
grid.412813.d,India,AS
grid.412814.a,Japan,AS
grid.412815.b,India,AS
grid.412816.8,Japan,AS
grid.412817.9,Morocco,AF
grid.412819.7,Czechia,EU
grid.412820.d,Norway,EU
grid.412823.e,United States,NA
grid.412824.9,Italy,EU
grid.412825.8,India,AS
grid.412826.b,Czechia,EU
grid.412827.a,Thailand,AS
grid.412828.5,Indonesia,AS
grid.412829.4,Turkey,AS
grid.412830.c,South Korea,AS
grid.412831.d,Iran,AS
grid.412832.e,Saudi Arabia,AS
grid.412833.f,United States,NA
grid.412834.8,India,AS
grid.412835.9,Norway,EU
grid.412836.a,India,AS
grid.412837.b,Poland,EU
grid.412839.5,China,AS
grid.412840.b,United States,NA
grid.412841.a,Russia,EU
grid.412842.9,New Zealand,OC
grid.412843.8,Japan,AS
grid.412844.f,Italy,EU
grid.412846.d,Oman,AS
grid.412847.c,Mexico,NA
grid.412848.3,Chile,SA
grid.412849.2,Chile,SA
grid.412850.a,Argentina,SA
grid.412851.b,Mexico,NA
grid.412852.8,Mexico,NA
grid.412854.e,Mexico,NA
grid.412855.f,Oman,AS
grid.412856.c,Mexico,NA
grid.412857.d,Japan,AS
grid.412858.2,Mexico,NA
grid.412859.3,South Korea,AS
grid.412860.9,United States,NA
grid.412861.8,Mexico,NA
grid.412862.b,Mexico,NA
grid.412863.a,Mexico,NA
grid.412864.d,Mexico,NA
grid.412865.c,Mexico,NA
grid.412866.f,Mexico,NA
grid.412867.e,Thailand,AS
grid.412868.1,United States,NA
grid.412869.0,United States,NA
grid.412870.8,South Africa,AF
grid.412871.9,South Korea,AS
grid.412872.a,Mexico,NA
grid.412873.b,Mexico,NA
grid.412874.c,Martinique,NA
grid.412875.d,Japan,AS
grid.412876.e,Chile,SA
grid.412877.f,Venezuela,SA
grid.412878.0,Spain,EU
grid.412879.1,Japan,AS
grid.412881.6,Colombia,SA
grid.412882.5,Chile,SA
grid.412884.3,Venezuela,SA
grid.412885.2,Colombia,SA
grid.412886.1,Barbados,NA
grid.412887.0,Mexico,NA
grid.412888.f,Iran,AS
grid.412889.e,Costa Rica,NA
grid.412890.6,Mexico,NA
grid.412891.7,Mexico,NA
grid.412892.4,Saudi Arabia,AS
grid.412894.2,Slovakia,EU
grid.412895.3,Saudi Arabia,AS
grid.412896.0,Taiwan,AS
grid.412897.1,Taiwan,AS
grid.412898.e,Tanzania,AF
grid.412899.f,China,AS
grid.412900.e,India,AS
grid.412901.f,China,AS
grid.412902.c,Taiwan,AS
grid.412903.d,Slovakia,EU
grid.412904.a,Japan,AS
grid.412905.b,Japan,AS
grid.412906.8,India,AS
grid.412907.9,United Kingdom,EU
grid.412908.6,India,AS
grid.412909.7,India,AS
grid.412910.f,United Kingdom,EU
grid.412911.e,United Kingdom,EU
grid.412912.d,United Kingdom,EU
grid.412913.c,United Kingdom,EU
grid.412914.b,United Kingdom,EU
grid.412915.a,United Kingdom,EU
grid.412917.8,United Kingdom,EU
grid.412918.7,United Kingdom,EU
grid.412919.6,United Kingdom,EU
grid.412920.c,United Kingdom,EU
grid.412921.d,United Kingdom,EU
grid.412922.e,United Kingdom,EU
grid.412923.f,United Kingdom,EU
grid.412924.8,United Kingdom,EU
grid.412925.9,United Kingdom,EU
grid.412926.a,United Kingdom,EU
grid.412927.b,United States,NA
grid.412929.5,Norway,EU
grid.412930.d,United Kingdom,EU
grid.412931.c,India,AS
grid.412932.f,United Kingdom,EU
grid.412933.e,United Kingdom,EU
grid.412934.9,United Kingdom,EU
grid.412935.8,United Kingdom,EU
grid.412936.b,India,AS
grid.412937.a,United Kingdom,EU
grid.412938.5,Norway,EU
grid.412939.4,United Kingdom,EU
grid.412940.a,United Kingdom,EU
grid.412941.b,United Kingdom,EU
grid.412942.8,United Kingdom,EU
grid.412943.9,United Kingdom,EU
grid.412944.e,United Kingdom,EU
grid.412945.f,United Kingdom,EU
grid.412946.c,United Kingdom,EU
grid.412947.d,United Kingdom,EU
grid.412949.3,Bosnia and Herzegovina,EU
grid.412950.b,United States,NA
grid.412951.a,Brazil,SA
grid.412954.f,France,EU
grid.412955.e,Taiwan,AS
grid.412956.d,Pakistan,AS
grid.412958.3,Laos,AS
grid.412959.2,United States,NA
grid.412960.8,Nigeria,AF
grid.412961.9,Japan,AS
grid.412962.a,Nigeria,AF
grid.412963.b,Jamaica,NA
grid.412964.c,South Africa,AF
grid.412965.d,South Korea,AS
grid.412966.e,Netherlands,EU
grid.412967.f,Pakistan,AS
grid.412968.0,Czechia,EU
grid.412969.1,China,AS
grid.412970.9,Germany,EU
grid.412971.8,Slovakia,EU
grid.412972.b,Italy,EU
grid.412973.a,United States,NA
grid.412974.d,Nigeria,AF
grid.412975.c,Nigeria,AF
grid.412977.e,South Korea,AS
grid.412979.0,China,AS
grid.412981.7,United States,NA
grid.412982.4,China,AS
grid.412983.5,China,AS
grid.412984.2,United States,NA
grid.412985.3,Sri Lanka,AS
grid.412986.0,India,AS
grid.412987.1,China,AS
grid.412988.e,South Africa,AF
grid.412989.f,Nigeria,AF
grid.412990.7,China,AS
grid.412991.6,South Sudan,AF
grid.412992.5,China,AS
grid.412993.4,United States,NA
grid.412996.1,Thailand,AS
grid.412997.0,India,AS
grid.412998.f,United States,NA
grid.413000.6,Austria,EU
grid.413001.7,United States,NA
grid.413002.4,India,AS
grid.413003.5,Nigeria,AF
grid.413004.2,Serbia,EU
grid.413005.3,Italy,EU
grid.413006.0,Japan,AS
grid.413007.1,Japan,AS
grid.413008.e,India,AS
grid.413009.f,Italy,EU
grid.413010.7,Japan,AS
grid.413012.5,China,AS
grid.413013.4,Romania,EU
grid.413014.3,United States,NA
grid.413015.2,India,AS
grid.413016.1,Pakistan,AS
grid.413017.0,Nigeria,AF
grid.413018.f,Malaysia,AS
grid.413019.e,United States,NA
grid.413020.4,Iran,AS
grid.413021.5,Iran,AS
grid.413022.6,Turkey,AS
grid.413023.7,United States,NA
grid.413026.2,Iran,AS
grid.413027.3,India,AS
grid.413028.c,South Korea,AS
grid.413029.d,United Kingdom,EU
grid.413030.5,United Kingdom,EU
grid.413031.4,United Kingdom,EU
grid.413032.7,United Kingdom,EU
grid.413034.1,Bosnia and Herzegovina,EU
grid.413036.3,United States,NA
grid.413038.d,United States,NA
grid.413039.c,India,AS
grid.413040.2,South Korea,AS
grid.413041.3,China,AS
grid.413042.0,Cuba,NA
grid.413043.1,India,AS
grid.413045.7,Japan,AS
grid.413046.4,South Korea,AS
grid.413047.5,Germany,EU
grid.413048.a,United States,NA
grid.413050.3,Taiwan,AS
grid.413051.2,Taiwan,AS
grid.413052.1,United States,NA
grid.413054.7,Vietnam,AS
grid.413055.6,Romania,EU
grid.413056.5,Cyprus,EU
grid.413057.4,United States,NA
grid.413058.b,Pakistan,AS
grid.413059.a,China,AS
grid.413060.0,Bahrain,AS
grid.413061.1,United States,NA
grid.413062.2,Pakistan,AS
grid.413064.4,Thailand,AS
grid.413066.6,China,AS
grid.413067.7,China,AS
grid.413068.8,Nigeria,AF
grid.413069.9,United States,NA
grid.413070.1,Nigeria,AF
grid.413072.3,China,AS
grid.413073.2,China,AS
grid.413074.5,Norway,EU
grid.413076.7,China,AS
grid.413077.6,United States,NA
grid.413078.9,India,AS
grid.413079.8,United States,NA
grid.413080.e,China,AS
grid.413081.f,Ghana,AF
grid.413083.d,United States,NA
grid.413084.a,United States,NA
grid.413085.b,United States,NA
grid.413086.8,United States,NA
grid.413087.9,China,AS
grid.413089.7,Bangladesh,AS
grid.413091.e,Romania,EU
grid.413092.d,Poland,EU
grid.413093.c,Pakistan,AS
grid.413094.b,Czechia,EU
grid.413095.a,Iraq,AS
grid.413096.9,Cameroon,AF
grid.413097.8,Nigeria,AF
grid.413098.7,Netherlands,EU
grid.413100.7,India,AS
grid.413101.6,Japan,AS
grid.413103.4,United States,NA
grid.413104.3,Canada,NA
grid.413105.2,Australia,OC
grid.413106.1,China,AS
grid.413107.0,China,AS
grid.413108.f,Germany,EU
grid.413109.e,China,AS
grid.413110.6,South Africa,AF
grid.413111.7,Japan,AS
grid.413112.4,South Korea,AS
grid.413113.5,United States,NA
grid.413114.2,Japan,AS
grid.413116.0,United States,NA
grid.413117.1,United States,NA
grid.413119.f,United States,NA
grid.413120.5,United States,NA
grid.413121.4,United States,NA
grid.413122.7,United States,NA
grid.413123.6,Tanzania,AF
grid.413124.1,Colombia,SA
grid.413125.0,Chile,SA
grid.413126.3,Bulgaria,EU
grid.413127.2,Indonesia,AS
grid.413128.d,South Korea,AS
grid.413129.c,Greece,EU
grid.413131.5,Nigeria,AF
grid.413132.6,United States,NA
grid.413133.7,France,EU
grid.413135.1,China,AS
grid.413136.2,Canada,NA
grid.413137.3,United Kingdom,EU
grid.413138.c,China,AS
grid.413139.d,United States,NA
grid.413140.3,Turkey,AS
grid.413141.2,India,AS
grid.413142.1,Mexico,NA
grid.413144.7,United Kingdom,EU
grid.413145.6,New Zealand,OC
grid.413146.5,China,AS
grid.413147.4,South Korea,AS
grid.413148.b,India,AS
grid.413149.a,India,AS
grid.413150.2,China,AS
grid.413151.3,Portugal,EU
grid.413153.1,United States,NA
grid.413154.6,Australia,OC
grid.413155.7,Spain,EU
grid.413156.4,Israel,AS
grid.413157.5,United Kingdom,EU
grid.413158.a,Greece,EU
grid.413159.b,South Korea,AS
grid.413160.1,United States,NA
grid.413161.0,India,AS
grid.413162.3,Greece,EU
grid.413163.2,United States,NA
grid.413164.5,China,AS
grid.413165.4,United States,NA
grid.413166.7,United States,NA
grid.413167.6,United States,NA
grid.413168.9,China,AS
grid.413169.8,Hungary,EU
grid.413170.0,Japan,AS
grid.413171.1,United States,NA
grid.413172.2,Italy,EU
grid.413174.4,Italy,EU
grid.413175.5,Italy,EU
grid.413176.6,Spain,EU
grid.413177.7,United States,NA
grid.413178.8,Jamaica,NA
grid.413179.9,Italy,EU
grid.413180.f,Greece,EU
grid.413181.e,Italy,EU
grid.413182.d,Argentina,SA
grid.413183.c,Greece,EU
grid.413184.b,United States,NA
grid.413185.a,United States,NA
grid.413186.9,Italy,EU
grid.413188.7,New Zealand,OC
grid.413189.6,United States,NA
grid.413190.e,United States,NA
grid.413191.f,United States,NA
grid.413192.c,United States,NA
grid.413193.d,Israel,AS
grid.413194.a,Pakistan,AS
grid.413195.b,United States,NA
grid.413196.8,Italy,EU
grid.413197.9,Denmark,EU
grid.413198.6,United States,NA
grid.413199.7,Argentina,SA
grid.413200.4,China,AS
grid.413201.5,Argentina,SA
grid.413202.6,Netherlands,EU
grid.413203.7,United Kingdom,EU
grid.413204.0,India,AS
grid.413205.1,Papua New Guinea,OC
grid.413206.2,Australia,OC
grid.413207.3,Tunisia,AF
grid.413208.c,United Kingdom,EU
grid.413209.d,India,AS
grid.413210.5,Australia,OC
grid.413211.4,India,AS
grid.413212.7,United States,NA
grid.413213.6,India,AS
grid.413214.1,Brazil,SA
grid.413215.0,Brazil,SA
grid.413216.3,India,AS
grid.413217.2,United Kingdom,EU
grid.413218.d,Portugal,EU
grid.413219.c,India,AS
grid.413220.6,India,AS
grid.413221.7,Nigeria,AF
grid.413222.4,India,AS
grid.413223.5,India,AS
grid.413224.2,India,AS
grid.413225.3,Germany,EU
grid.413226.0,India,AS
grid.413227.1,India,AS
grid.413228.e,India,AS
grid.413229.f,India,AS
grid.413230.7,India,AS
grid.413231.6,India,AS
grid.413232.5,India,AS
grid.413233.4,India,AS
grid.413234.3,Canada,NA
grid.413235.2,France,EU
grid.413236.1,India,AS
grid.413238.f,India,AS
grid.413240.0,United States,NA
grid.413241.1,India,AS
grid.413242.2,China,AS
grid.413243.3,Australia,OC
grid.413247.7,China,AS
grid.413248.8,United States,NA
grid.413249.9,Australia,OC
grid.413250.1,Austria,EU
grid.413251.0,China,AS
grid.413252.3,Australia,OC
grid.413253.2,Sweden,EU
grid.413254.5,China,AS
grid.413255.4,United States,NA
grid.413256.7,United States,NA
grid.413257.6,Austria,EU
grid.413258.9,United Kingdom,EU
grid.413259.8,China,AS
grid.413260.2,India,AS
grid.413261.3,United States,NA
grid.413262.0,Argentina,SA
grid.413263.1,Germany,EU
grid.413264.6,Canada,NA
grid.413265.7,Australia,OC
grid.413266.4,United States,NA
grid.413267.5,India,AS
grid.413268.a,United Kingdom,EU
grid.413270.3,Canada,NA
grid.413271.2,United States,NA
grid.413272.1,United States,NA
grid.413273.0,China,AS
grid.413274.7,United States,NA
grid.413275.6,United States,NA
grid.413276.5,United Kingdom,EU
grid.413277.4,Canada,NA
grid.413278.b,Chile,SA
grid.413279.a,United States,NA
grid.413280.c,China,AS
grid.413282.e,Iran,AS
grid.413283.f,India,AS
grid.413284.8,China,AS
grid.413285.9,Turkey,AS
grid.413286.a,United Kingdom,EU
grid.413287.b,United States,NA
grid.413288.4,Kuwait,AS
grid.413289.5,Canada,NA
grid.413290.d,Turkey,AS
grid.413291.c,Italy,EU
grid.413292.f,Canada,NA
grid.413293.e,Spain,EU
grid.413294.9,United States,NA
grid.413295.8,Turkey,AS
grid.413296.b,Canada,NA
grid.413297.a,Spain,EU
grid.413298.5,Turkey,AS
grid.413299.4,Croatia,EU
grid.413300.5,Canada,NA
grid.413301.4,United Kingdom,EU
grid.413302.7,South Africa,AF
grid.413303.6,Austria,EU
grid.413304.1,Canada,NA
grid.413305.0,Ireland,EU
grid.413306.3,France,EU
grid.413307.2,United Kingdom,EU
grid.413308.d,United States,NA
grid.413309.c,Canada,NA
grid.413310.4,United States,NA
grid.413312.6,United States,NA
grid.413313.7,Australia,OC
grid.413314.0,Australia,OC
grid.413315.1,Iceland,EU
grid.413316.2,United States,NA
grid.413317.3,Spain,EU
grid.413319.d,United States,NA
grid.413320.7,Brazil,SA
grid.413321.6,United States,NA
grid.413322.5,Australia,OC
grid.413323.4,Canada,NA
grid.413324.3,Portugal,EU
grid.413325.2,United States,NA
grid.413326.1,United States,NA
grid.413327.0,Netherlands,EU
grid.413328.f,France,EU
grid.413329.e,United States,NA
grid.413330.6,United States,NA
grid.413331.7,South Africa,AF
grid.413332.4,United States,NA
grid.413333.5,United States,NA
grid.413334.2,United States,NA
grid.413335.3,South Africa,AF
grid.413336.0,United Kingdom,EU
grid.413339.f,United States,NA
grid.413340.1,Italy,EU
grid.413341.0,United States,NA
grid.413342.3,India,AS
grid.413343.2,India,AS
grid.413344.5,New Zealand,OC
grid.413347.6,Australia,OC
grid.413348.9,France,EU
grid.413349.8,Switzerland,EU
grid.413351.1,South Africa,AF
grid.413352.2,China,AS
grid.413353.3,Kenya,AF
grid.413354.4,Switzerland,EU
