ID,Country,Contiment
grid.413355.5,Kenya,AF
grid.413356.6,Turkey,AS
grid.413357.7,Switzerland,EU
grid.413358.8,Spain,EU
grid.413359.9,Chile,SA
grid.413361.2,Chile,SA
grid.413362.1,Portugal,EU
grid.413363.0,Italy,EU
grid.413364.7,Venezuela,SA
grid.413366.5,Switzerland,EU
grid.413368.b,China,AS
grid.413369.a,Japan,AS
grid.413370.2,Netherlands,EU
grid.413371.3,Spain,EU
grid.413372.0,China,AS
grid.413373.1,Poland,EU
grid.413374.6,United States,NA
grid.413375.7,China,AS
grid.413376.4,Japan,AS
grid.413377.5,Canada,NA
