Id;Label
ecole normale superieure de lyon;ecole normale superieure de lyon
thayer school of engineering;thayer school of engineering
imec;imec
moscow state university;moscow state university
helsinki university of technology;helsinki university of technology
oriel college oxford;oriel college oxford
esterel technologies;esterel technologies
university of verona;university of verona
state university of new york at new paltz;state university of new york at new paltz
university of toronto;university of toronto
cma cgm;cma cgm
colorado state university;colorado state university
koc university;koc university
university of manchester;university of manchester
university of palermo;university of palermo
university of wisconsin madison;university of wisconsin madison
university of wyoming;university of wyoming
florida institute of technology;florida institute of technology
university of kentucky;university of kentucky
keele university;keele university
technical university of kenya;technical university of kenya
georgia southwestern state university;georgia southwestern state university
university of california santa barbara;university of california santa barbara
rutherford appleton laboratory;rutherford appleton laboratory
university of edinburgh;university of edinburgh
university of south florida;university of south florida
university of wroclaw;university of wroclaw
mit lincoln laboratory;mit lincoln laboratory
university of melbourne;university of melbourne
state university of campinas;state university of campinas
washington state university;washington state university
mathworks;mathworks
blaise pascal university;blaise pascal university
southeast university;southeast university
portland state university;portland state university
universidade nova de lisboa;universidade nova de lisboa
ludwig maximilian university of munich;ludwig maximilian university of munich
kaiserslautern university of technology;kaiserslautern university of technology
university of caen lower normandy;university of caen lower normandy
honeywell;honeywell
queensland university of technology;queensland university of technology
stanford university;stanford university
commonwealth scientific and industrial research organisation;commonwealth scientific and industrial research organisation
technische hochschule;technische hochschule
university of rennes;university of rennes
chiba university of commerce;chiba university of commerce
cray;cray
university of turku;university of turku
salisbury university;salisbury university
city university of hong kong;city university of hong kong
university of queensland;university of queensland
computer laboratory university of cambridge;computer laboratory university of cambridge
university of california irvine;university of california irvine
imdea;imdea
santa clara university;santa clara university
binghamton university;binghamton university
it university of copenhagen;it university of copenhagen
university of birmingham;university of birmingham
university of portland;university of portland
carnegie mellon university;carnegie mellon university
t systems;t systems
lawrence livermore national laboratory;lawrence livermore national laboratory
brown university;brown university
university of kansas;university of kansas
university of puerto rico;university of puerto rico
symantec;symantec
centaur technology;centaur technology
university of bath;university of bath
university of lugano;university of lugano
polish academy of sciences;polish academy of sciences
university of louisiana at lafayette;university of louisiana at lafayette
peking university;peking university
instituto superior tecnico;instituto superior tecnico
seton hall university;seton hall university
queen mary university of london;queen mary university of london
williams college;williams college
oregon state university;oregon state university
university of southern california;university of southern california
united states military academy;united states military academy
parc;parc
university of bucharest;university of bucharest
zhejiang sci tech university;zhejiang sci tech university
university of texas at san antonio;university of texas at san antonio
sybase;sybase
university of alcala;university of alcala
saarland university;saarland university
minneapolis institute of arts;minneapolis institute of arts
university of science and technology of china;university of science and technology of china
sandia national laboratories;sandia national laboratories
national technical university of athens;national technical university of athens
information technology university;information technology university
university of south africa;university of south africa
hewlett packard;hewlett packard
paul sabatier university;paul sabatier university
uganda revenue authority;uganda revenue authority
depaul university;depaul university
national presto industries;national presto industries
federal university of paraiba;federal university of paraiba
university of essex;university of essex
technical university of madrid;technical university of madrid
university of barcelona;university of barcelona
aalborg university;aalborg university
information sciences institute;information sciences institute
epic systems;epic systems
national university of la plata;national university of la plata
digital management inc;digital management inc
college of william mary;college of william mary
xerox;xerox
institute of science and technology austria;institute of science and technology austria
duke university;duke university
national chiao tung university;national chiao tung university
university of st andrews;university of st andrews
red hat;red hat
university of iowa;university of iowa
texas instruments;texas instruments
calvin college;calvin college
oregon health science university;oregon health science university
national institute of informatics;national institute of informatics
cornell university;cornell university
university of dundee;university of dundee
isaac newton institute;isaac newton institute
siemens;siemens
instituto politecnico nacional;instituto politecnico nacional
university of illinois at chicago;university of illinois at chicago
hankyong national university;hankyong national university
technical university of denmark;technical university of denmark
national university of cordoba;national university of cordoba
ecole polytechnique federale de lausanne;ecole polytechnique federale de lausanne
university of bristol;university of bristol
technical university of dortmund;technical university of dortmund
tampere university of technology;tampere university of technology
university of mainz;university of mainz
french institute for research in computer science and automation;french institute for research in computer science and automation
california institute of technology;california institute of technology
new york state department of environmental conservation;new york state department of environmental conservation
king s college london;king s college london
abo akademi university;abo akademi university
joseph fourier university;joseph fourier university
thammasat university;thammasat university
rutgers university;rutgers university
malardalen university college;malardalen university college
academy of finland;academy of finland
general electric;general electric
united states department of defense;united states department of defense
technical university of berlin;technical university of berlin
university of buenos aires;university of buenos aires
clark atlanta university;clark atlanta university
linkoping university;linkoping university
old dominion university;old dominion university
hofstra university;hofstra university
ulster university;ulster university
indian institute of technology guwahati;indian institute of technology guwahati
brno university of technology;brno university of technology
artificial intelligence center;artificial intelligence center
polytechnic university of valencia;polytechnic university of valencia
harvard university;harvard university
department of trade and industry;department of trade and industry
national and kapodistrian university of athens;national and kapodistrian university of athens
university of washington;university of washington
university of western ontario;university of western ontario
michigan technological university;michigan technological university
university of lyon;university of lyon
xilinx;xilinx
tilburg university;tilburg university
burlington coat factory;burlington coat factory
university of liege;university of liege
united nations university;united nations university
appalachian state university;appalachian state university
university of york;university of york
international computer science institute;international computer science institute
ca technologies;ca technologies
university of western australia;university of western australia
university of houston;university of houston
university of florence;university of florence
university of vic;university of vic
university of vermont;university of vermont
development corporations;development corporations
university of sussex;university of sussex
cri;cri
university of paris sud;university of paris sud
ecole polytechnique;ecole polytechnique
indiana university;indiana university
concordia university;concordia university
