Id;Label
university of piraeus;university of piraeus
emory university;emory university
rockefeller university;rockefeller university
verizon communications;verizon communications
arco;arco
delphi automotive;delphi automotive
university of oslo;university of oslo
shenzhen university;shenzhen university
university of alabama in huntsville;university of alabama in huntsville
ecole de technologie superieure;ecole de technologie superieure
northern arizona university;northern arizona university
ashikaga institute of technology;ashikaga institute of technology
jean monnet university;jean monnet university
metz;metz
university of ioannina;university of ioannina
halifax;halifax
ionian university;ionian university
warsaw university of technology;warsaw university of technology
vrvis;vrvis
tokyo university of agriculture and technology;tokyo university of agriculture and technology
university of california riverside;university of california riverside
kam controls;kam controls
martin marietta materials inc;martin marietta materials inc
university of auckland;university of auckland
national center for science education;national center for science education
university of bergen;university of bergen
dana farber cancer institute;dana farber cancer institute
university of south wales;university of south wales
florida institute for human and machine cognition;florida institute for human and machine cognition
boeing commercial airplanes;boeing commercial airplanes
st john s college cambridge;st john s college cambridge
sofia medical university;sofia medical university
mcmaster university;mcmaster university
calcutta institute of engineering and management;calcutta institute of engineering and management
university of toyama;university of toyama
university of toronto department of computer science;university of toronto department of computer science
city university of hong kong;city university of hong kong
virginia tech;virginia tech
school of computer science university of manchester;school of computer science university of manchester
university of california los angeles;university of california los angeles
idiap research institute;idiap research institute
university of yamanashi;university of yamanashi
university of freiburg;university of freiburg
university of arizona;university of arizona
eindhoven university of technology;eindhoven university of technology
hitachi;hitachi
agilent technologies;agilent technologies
carleton university;carleton university
rhythm and hues studios;rhythm and hues studios
institute of company secretaries of india;institute of company secretaries of india
university of the witwatersrand;university of the witwatersrand
bryn mawr college;bryn mawr college
wolfram research;wolfram research
bellsouth;bellsouth
university of lugano;university of lugano
fraunhofer society;fraunhofer society
raytheon;raytheon
shanghai university of finance and economics;shanghai university of finance and economics
dynamics research corporation;dynamics research corporation
university of science and technology beijing;university of science and technology beijing
universidade do vale do rio dos sinos;universidade do vale do rio dos sinos
beijing university of posts and telecommunications;beijing university of posts and telecommunications
wellesley college;wellesley college
the hertz corporation;the hertz corporation
university of leicester;university of leicester
texas state university;texas state university
university of aizu;university of aizu
polytechnic university of turin;polytechnic university of turin
university of winnipeg;university of winnipeg
university of minho;university of minho
blaise pascal university;blaise pascal university
charles river laboratories;charles river laboratories
university of arkansas for medical sciences;university of arkansas for medical sciences
university of navarra;university of navarra
north dakota state university;north dakota state university
purdue university;purdue university
koc university;koc university
norwegian institute of technology;norwegian institute of technology
medical research council;medical research council
facebook;facebook
siemens;siemens
wichita state university;wichita state university
faculty of information technology university džemal bijedic of mostar;faculty of information technology university džemal bijedic of mostar
hong kong university of science and technology;hong kong university of science and technology
university of nebraska lincoln;university of nebraska lincoln
ruhr university bochum;ruhr university bochum
university of sydney;university of sydney
swinburne university of technology;swinburne university of technology
university of rochester;university of rochester
indian institutes of technology;indian institutes of technology
buffalo state college;buffalo state college
university of haifa;university of haifa
university of texas health science center at houston;university of texas health science center at houston
university college london;university college london
university of west florida;university of west florida
philips;philips
queens college;queens college
university of kentucky;university of kentucky
trinity college oxford;trinity college oxford
lund university;lund university
central university india;central university india
merck co;merck co
wakayama university;wakayama university
universidad michoacana de san nicolas de hidalgo;universidad michoacana de san nicolas de hidalgo
massachusetts college of liberal arts;massachusetts college of liberal arts
defence science and technology organisation;defence science and technology organisation
booz allen hamilton;booz allen hamilton
university of electronic science and technology of china;university of electronic science and technology of china
shizuoka university;shizuoka university
fruit of islam;fruit of islam
zhejiang university of technology;zhejiang university of technology
the graduate center cuny;the graduate center cuny
universidade luterana do brasil;universidade luterana do brasil
pan american petroleum and transport company;pan american petroleum and transport company
auburn university;auburn university
posco;posco
durham university;durham university
university of calgary;university of calgary
max planck institute for biophysical chemistry;max planck institute for biophysical chemistry
esiee paris;esiee paris
new york university school of medicine;new york university school of medicine
king abdullah university of science and technology;king abdullah university of science and technology
ryerson university;ryerson university
polytechnic institute of new york university;polytechnic institute of new york university
weill cornell medical college;weill cornell medical college
university of malaga;university of malaga
university of cadiz;university of cadiz
chukyo university;chukyo university
national institute on deafness and other communication disorders;national institute on deafness and other communication disorders
university of patras;university of patras
upc ireland;upc ireland
swansea university;swansea university
steyr mannlicher;steyr mannlicher
nanjing university;nanjing university
university of northern british columbia;university of northern british columbia
lille university of science and technology;lille university of science and technology
soongsil university;soongsil university
university of north texas at dallas;university of north texas at dallas
auckland university of technology;auckland university of technology
centre national de la recherche scientifique;centre national de la recherche scientifique
association for computing machinery;association for computing machinery
chicago transit authority;chicago transit authority
institute of mental health;institute of mental health
control group;control group
the catholic university of america;the catholic university of america
institut geographique national;institut geographique national
inje university;inje university
massachusetts eye and ear infirmary;massachusetts eye and ear infirmary
university of florida;university of florida
analysis group;analysis group
grenoble institute of technology;grenoble institute of technology
university of cambridge;university of cambridge
genome institute of singapore;genome institute of singapore
eunice kennedy shriver national institute of child health and human development;eunice kennedy shriver national institute of child health and human development
university of coimbra;university of coimbra
victoria university of wellington;victoria university of wellington
university of pennsylvania;university of pennsylvania
university of antwerp;university of antwerp
university of jena;university of jena
beth israel deaconess medical center;beth israel deaconess medical center
uppsala university;uppsala university
semnan university;semnan university
united states air force academy;united states air force academy
heidelberg university;heidelberg university
merrill lynch;merrill lynch
university of suwon;university of suwon
florida polytechnic university;florida polytechnic university
rensselaer polytechnic institute;rensselaer polytechnic institute
trinity college;trinity college
national human genome research institute;national human genome research institute
university of chile;university of chile
new york university stern school of business;new york university stern school of business
university of michigan flint;university of michigan flint
sungshin women s university;sungshin women s university
yeungnam university;yeungnam university
national taiwan university of science and technology;national taiwan university of science and technology
national chi nan university;national chi nan university
university of pavia;university of pavia
new york institute of technology;new york institute of technology
university of leoben;university of leoben
iwate university;iwate university
electro voice;electro voice
college of science and technology;college of science and technology
graz university of technology;graz university of technology
national institutes of health;national institutes of health
university of sao paulo;university of sao paulo
rmit school of medical sciences;rmit school of medical sciences
university of innsbruck;university of innsbruck
pohang university of science and technology;pohang university of science and technology
wellcome trust;wellcome trust
robotics institute;robotics institute
pec university of technology;pec university of technology
open university of hong kong;open university of hong kong
harris corporation;harris corporation
state university of campinas;state university of campinas
institute of transportation studies;institute of transportation studies
vtt technical research centre of finland;vtt technical research centre of finland
hong kong baptist university;hong kong baptist university
irobot;irobot
max planck institute for human development;max planck institute for human development
university of science and technology of china;university of science and technology of china
indiana university;indiana university
university of graz;university of graz
bosch;bosch
columbia business school;columbia business school
hankuk university of foreign studies;hankuk university of foreign studies
university of illinois at chicago;university of illinois at chicago
dublin institute of technology;dublin institute of technology
university b d t college of engineering;university b d t college of engineering
medical college of wisconsin;medical college of wisconsin
