Source;Target;Weight
university of tokyo;university of sheffield;0.0395767195767
university of tokyo;university of edinburgh;0.445357890499
peking university;cornell university;0.132698412698
johns hopkins university;university of tokyo;0.131664280802
hong kong polytechnic university;microsoft;0.1
harvard university;university of pennsylvania;0.166666666667
johns hopkins university;sri international;0.320736267618
johns hopkins university;university of maryland college park;0.684498844739
ohio state university;university of pennsylvania;0.333101851852
columbia university;massachusetts institute of technology;0.153928647839
university of north texas;information sciences institute;0.161111111111
university of pittsburgh;information sciences institute;0.0166666666667
stanford university;technical university of kenya;0.2225
university of edinburgh;university of edinburgh;3.25618657338
university of leeds;university of edinburgh;0.127733413995
massachusetts institute of technology;university of maryland college park;0.194768932964
university of minnesota;university of edinburgh;0.0555555555556
yahoo;georgia institute of technology;0.0267857142857
yahoo;yahoo;0.779019386876
hebrew university of jerusalem;university of lisbon;0.0526315789474
ben gurion university of the negev;university of pennsylvania;0.14
university of oxford;brandeis university;0.1
harbin institute of technology;university of sussex;0.1
toshiba;university of sussex;0.1
university of sheffield;oregon state university;0.0128205128205
university of sheffield;princeton university;0.0422144522145
university of texas at austin;university of sussex;0.117507711587
carnegie mellon university;university of edinburgh;0.471079499708
athens university of economics and business;bar ilan university;0.0380952380952
cornell university;information sciences institute;0.24082573773
university of pennsylvania;at t labs;0.595038605039
stanford university;university at buffalo;0.125
chinese academy of sciences;johns hopkins university;0.234466794381
yahoo;koc university;0.0217391304348
yahoo;university of massachusetts amherst;0.445175395107
university of maryland college park;ibm;0.695033381029
microsoft;sri international;0.135714285714
university of edinburgh;university of southern california;0.967712106598
university of edinburgh;hebrew university of jerusalem;0.269254658385
university of edinburgh;stanford university;0.722732141366
university of edinburgh;language technologies institute;0.12143928036
macquarie university;university of california berkeley;0.350389129358
ibm;charles university in prague;0.0480158730159
ibm;university of edinburgh;0.237997328971
ibm;massachusetts institute of technology;0.110304041101
ibm;williams college;0.00357142857143
ibm;rwth aachen university;0.446629771195
ibm;university of maryland college park;0.287612411743
university of texas at austin;microsoft;0.20202020202
university of southern california;rwth aachen university;0.340605435157
university of maryland college park;rwth aachen university;0.234973701875
fudan university;university of illinois at chicago;0.208683473389
universite de montreal;university of southern california;0.123456790123
xerox;university of southern california;0.164197530864
rwth aachen university;university of southern california;0.465917107584
national research council;sri international;0.0555555555556
microsoft;university of tampere;0.0174418604651
princeton university;university of tampere;0.00581395348837
language technologies institute;johns hopkins university;0.0555555555556
bbn technologies;university of edinburgh;0.182901337793
university of antwerp;cornell university;0.00462962962963
university of antwerp;brown university;0.0138888888889
university of florence;cornell university;0.00154320987654
university of florence;brown university;0.00462962962963
katholieke universiteit leuven;cornell university;0.00308641975309
katholieke universiteit leuven;brown university;0.00925925925926
polytechnic university of catalonia;tokyo institute of technology;0.00568181818182
national university of distance education;tokyo institute of technology;0.0170454545455
polytechnic university of catalonia;university of southern california;0.159902597403
national university of distance education;university of southern california;0.0511363636364
cornell university;ibm;0.192164438875
university of california berkeley;university of alberta;0.110270240819
university of california berkeley;google;0.30522077252
national university of singapore;princeton university;0.126263662902
lawrence livermore national laboratory;stanford university;0.00877192982456
lawrence livermore national laboratory;university of california berkeley;0.0175438596491
university of california los angeles;stanford university;0.044158692185
university of california los angeles;university of california berkeley;0.0314992025518
sandia national laboratories;stanford university;0.00438596491228
sandia national laboratories;university of california berkeley;0.00877192982456
johns hopkins university;harvard university;0.360762415563
carnegie mellon university;rmit university;0.2
university of pennsylvania;brown university;0.734595309595
bbn technologies;brown university;0.0238095238095
saarland university;university of zurich;0.0123456790123
university of edinburgh;university of zurich;0.0246913580247
university of washington;cornell university;0.222776479845
carnegie mellon university;carnegie mellon university;2.41310022207
max planck society;heidelberg university;0.0263157894737
massachusetts institute of technology;microsoft;0.518936194524
national university of singapore;microsoft;0.429773869201
university of utah;ibm;0.0353260869565
chinese academy of sciences;rwth aachen university;0.346682771252
university of science and technology sana a;university of science and technology sana a;0.108108108108
national university of singapore;national university of singapore;1.27432948801
national university of singapore;university of southern california;0.986306369224
stanford university;charles university in prague;0.0343144950288
columbia university;university of chicago;0.0357142857143
columbia university;university of sheffield;0.107142857143
fujitsu;national university of singapore;0.0754901960784
bbn technologies;university of maryland college park;0.491662807381
university of edinburgh;technische universitat ilmenau;0.00666666666667
university of edinburgh;ecole normale superieure;0.00666666666667
carnegie mellon university;technische universitat ilmenau;0.0133333333333
carnegie mellon university;ecole normale superieure;0.0133333333333
university of southern california;johns hopkins university;0.431445972328
university of southern california;university of edinburgh;0.657236227824
