KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type
lcn,LCN,systems,networks,conference
lctes,LCTES,systems,"embedded & real time, programming languages",conference
lics,LICS,theory,verification,conference
mascots,MASCOTS,systems,"performance analysis, networks",conference
mass,MASS,systems,mobile,conference
mdm,MDM,databases,mobile,conference
miccai,MICCAI,systems,"vision, bioinformatics",conference
micro,MICRO,systems,architecture,conference
ml,ML,machine learning,artificial intelligence,journal
mm,MM,human computer interaction,,conference
mmas,MMAS,performance analysis,,journal
mobicom,MobiCom,systems,mobile,conference
mobihoc,MobiHoc,systems,"mobile,networks",conference
mobisec,Mobisec,systems,"mobile,security",conference
mobisys,MobiSys,systems,mobile,conference
naacl,NAACL/HLT,artificial intelligence,"natural language processing,human computer interaction",conference
ndss,NDSS,systems,"networks,security,distributed systems",conference
nips,NIPS,artificial intelligence,"machine learning, data mining",conference
noms,NOMS,systems,networks,conference
nsdi,NSDI,systems,networks,conference
oopsla,OOPSLA,systems,programming languages,conference
osdi,OSDI,systems,operating systems,conference
pact,PACT,systems,"architecture, programming languages, parallel computing",conference
pami,PAMI,artificial intelligence,,journal
percom,PERCOM,systems,"networks, operating systems, distributed systems",conference
pervasive,PERVASIVE,systems,,journal
pldi,PLDI,systems,programming languages,conference
podc,PODC,systems,distributed systems,conference
pods,PODS,databases,,conference
popl,POPL,theory,programming languages,conference
ppopp,PPoPP,systems,parallel computing,conference
psb,PSB,bioinformatics,,conference
pvldb,PVLDB,databases,,journal
raid,RAID,security,systems,conference
re,RE,systems,software engineering,conference
recomb,RECOMB,bioinformatics,,conference
rss,RSS,robotics,,conference
rtas,RTAS,systems,embedded & real time,conference
rtss,RTSS,systems,embedded & real time,conference
sac,SAC,other,,conference
sacmat,SACMAT,systems,,conference
saint,SAINT,,web technologies,conference
sbac-pad,SBAC-PAD,systems,"architecture,high performance computing",conference
sc,SC,systems,"high performance computing,parallel computing",conference
sdm,SDM,data mining,,conference
sea,SEA,algorithms,,conference
sec,SEC,security,,conference
securecomm,Securecomm,systems,"security,networks",conference
sensys,SenSys,systems,"mobile,networks,embedded & real time",conference
si3d,i3D,graphics,,conference
siamads,SIAMADS,systems,,journal
siamam,SIAMAM,theory,,journal
siamco,SIAMCO,theory,,journal
siamcomp,SIAMCOMP,other,,journal
siamdm,SIAMDM,theory,,journal
siamjo,SIAMJO,theory,,journal
siamma,SIAMMA,theory,,journal
siammax,SIAMMAX,theory,,journal
siamnum,SIAMNUM,theory,,journal
siamrev,SIAMREV,other,,journal
siamsc,SIAMSC,high performance computing,,journal
sigcomm,SIGCOMM,systems,networks,conference
sigecom,EC,other,,conference
sigir,SIGIR,artificial intelligence,information retrieval,conference
sigmetrics,SIGMETRICS,systems,"performance analysis,networks",conference
sigmod,SIGMOD,databases,,conference
sigsoft-fse,FSE,systems,software engineering,conference
soda,SODA,theory,algorithms,conference
software,SOFTWARE,software engineering,,journal
sosp,SOSP,systems,operating systems,conference
sp,S&P,systems,security,conference
spaa,SPAA,theory,"algorithms,architecture,parallel computing",conference
srds,SRDS,systems,"operating systems, distributed systems",conference
