Key,Fullname,Grid,URL,WikipediaURL
caisse des depots et consignations,Caisse des dépôts et consignations,,http://www.caissedesdepots.fr/,http://en.wikipedia.org/wiki/Caisse_des_dépôts_et_consignations
georgian technical university,Georgian Technical University,grid.41405.34,http://www.gtu.ge/,http://en.wikipedia.org/wiki/Georgian_Technical_University
biblical theological seminary,Biblical Theological Seminary,grid.461955.a,http://www.biblical.edu/,http://en.wikipedia.org/wiki/Biblical_Theological_Seminary
campbell university,Campbell University,grid.253606.4,http://www.campbell.edu/,http://en.wikipedia.org/wiki/Campbell_University
national metallurgical academy of ukraine,National Metallurgical Academy of Ukraine,grid.445401.0,http://www.nmetau.edu.ua/,http://en.wikipedia.org/wiki/National_Metallurgical_Academy_of_Ukraine
advanced technologies center,Advanced Technologies Center,,http://en.nanoscopy.ru/,http://en.wikipedia.org/wiki/Advanced_Technologies_Center
university of the west indies,University of the West Indies,grid.473797.9,http://www.uwi.edu/,http://en.wikipedia.org/wiki/University_of_the_West_Indies
ecole polytechnique,École Polytechnique,grid.10877.39,http://polytechnique.edu/,http://en.wikipedia.org/wiki/École_Polytechnique
sdrc,SDRC,,,http://en.wikipedia.org/wiki/SDRC
agfa gevaert,Agfa-Gevaert,grid.473201.3,http://www.agfa.com/,http://en.wikipedia.org/wiki/Agfa-Gevaert
universidade municipal de sao caetano do sul,Universidade Municipal de São Caetano do Sul,grid.442120.1,http://www.uscs.edu.br/,http://en.wikipedia.org/wiki/Universidade_Municipal_de_São_Caetano_do_Sul
aalborg university esbjerg,Aalborg University – Esbjerg,,http://www.esbjerg.aau.dk/,http://en.wikipedia.org/wiki/Aalborg_University_–_Esbjerg
university of peloponnese,University of Peloponnese,grid.36738.39,http://www.uop.gr/,http://en.wikipedia.org/wiki/University_of_Peloponnese
office of population research,Office of Population Research,,http://www.opr.princeton.edu/,http://en.wikipedia.org/wiki/Office_of_Population_Research
public works department,Public Works Department,,,http://en.wikipedia.org/wiki/List_of_public_works_ministries
geneva centre for security policy,Geneva Centre for Security Policy,,,http://en.wikipedia.org/wiki/Geneva_Centre_for_Security_Policy
canadian institutes of health research,Canadian Institutes of Health Research,grid.248883.d,http://www.cihr-irsc.gc.ca/,http://en.wikipedia.org/wiki/Canadian_Institutes_of_Health_Research
northern michigan university,Northern Michigan University,grid.261138.f,http://www.nmu.edu/,http://en.wikipedia.org/wiki/Northern_Michigan_University
tap pharmaceutical products,TAP Pharmaceutical Products,,,http://en.wikipedia.org/wiki/TAP_Pharmaceutical_Products
daugavpils university,Daugavpils University,grid.17329.3e,http://du.lv/en,http://en.wikipedia.org/wiki/Daugavpils_University
kisa,KISA,,,http://en.wikipedia.org/wiki/KISA_(NGO)
christendom college,Christendom College,grid.454573.4,http://www.christendom.edu/,http://en.wikipedia.org/wiki/Christendom_College
university of agder,University of Agder,grid.23048.3d,https://www.uia.no/en,http://en.wikipedia.org/wiki/University_of_Agder
kamakura women s university,Kamakura Women's University,grid.444012.7,http://www.kamakura-u.ac.jp/,http://en.wikipedia.org/wiki/Kamakura_Women's_University
china university of petroleum,China University of Petroleum,grid.411519.9,http://www.upc.edu.cn/,http://en.wikipedia.org/wiki/China_University_of_Petroleum
international association for analytical psychology,International Association for Analytical Psychology,,http://www.iaap.org/,http://en.wikipedia.org/wiki/International_Association_for_Analytical_Psychology
swiss post,Swiss Post,,http://www.post.ch/en/,http://en.wikipedia.org/wiki/Swiss_Post
international turkmen turkish university,International Turkmen-Turkish University,grid.444352.0,,http://en.wikipedia.org/wiki/International_Turkmen-Turkish_University
suny broome community college,SUNY Broome Community College,grid.432701.3,http://www.sunybroome.edu/,http://en.wikipedia.org/wiki/SUNY_Broome_Community_College
salina area technical college,Salina Area Technical College,,http://www.salinatech.edu/,http://en.wikipedia.org/wiki/Salina_Area_Technical_College
chongqing communication institute,Chongqing Communication Institute,,,http://en.wikipedia.org/wiki/Chongqing_Communication_Institute
cryolife inc,"CryoLife, Inc.",grid.421671.7,http://www.cryolife.com/,http://en.wikipedia.org/wiki/CryoLife
ntru cryptosystems inc,"NTRU Cryptosystems, Inc.",,,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=113626
nova scotia agricultural college,Nova Scotia Agricultural College,,http://nsac.ca/,http://en.wikipedia.org/wiki/Nova_Scotia_Agricultural_College
cleveland institute of electronics,Cleveland Institute of Electronics,,http://www.cie-wc.edu/,http://en.wikipedia.org/wiki/Cleveland_Institute_of_Electronics
international foundation for electoral systems,International Foundation for Electoral Systems,grid.480537.d,http://www.ifes.org/,http://en.wikipedia.org/wiki/International_Foundation_for_Electoral_Systems
kihara institute for biological research,Kihara Institute for Biological Research,grid.471657.6,http://www.yokohama-cu.ac.jp/kihara/outline/,http://en.wikipedia.org/wiki/Kihara_Institute_for_Biological_Research
norwegian geological survey,Norwegian Geological Survey,grid.438521.9,http://www.ngu.no/,http://en.wikipedia.org/wiki/Norwegian_Geological_Survey
oregon department of human services,Oregon Department of Human Services,grid.238692.4,http://www.oregon.gov/dhs/pages/index.aspx,http://en.wikipedia.org/wiki/Oregon_Department_of_Human_Services
catalyst,Catalyst,,http://www.catalyst.org/,http://en.wikipedia.org/wiki/Catalyst_(nonprofit_organization)
foveon,Foveon,,http://www.foveon.com/index.php,http://en.wikipedia.org/wiki/Foveon
correctional service of canada,Correctional Service of Canada,,http://www.csc-scc.gc.ca/,http://en.wikipedia.org/wiki/Correctional_Service_of_Canada
maimonides medical center,Maimonides Medical Center,grid.416306.6,http://www.maimonidesmed.org/,http://en.wikipedia.org/wiki/Maimonides_Medical_Center
swiss agency for development and cooperation,Swiss Agency for Development and Cooperation,,https://www.eda.admin.ch/deza/en/home/sdc/portrait.html,http://en.wikipedia.org/wiki/Swiss_Agency_for_Development_and_Cooperation
steno diabetes center,Steno Diabetes Center,grid.419658.7,https://steno.dk/,http://en.wikipedia.org/wiki/Steno_Diabetes_Center
technicolor,Technicolor,grid.424185.e,,http://en.wikipedia.org/wiki/Technicolor
american association of diabetes educators,American Association of Diabetes Educators,grid.489437.5,,https://en.wikipedia.org/wiki/American_Association_of_Diabetes_Educators
italtel italy,Italtel (Italy),grid.76381.3b,,https://en.wikipedia.org/wiki/Italtel
higashi chikushi junior college,Higashi Chikushi Junior College,grid.471549.a,,https://en.wikipedia.org/wiki/Higashi_Chikushi_Junior_College
weskoppies psychiatric hospital,Weskoppies Psychiatric Hospital,grid.440252.5,,https://en.wikipedia.org/wiki/Weskoppies_Psychiatric_Hospital
canadian policy research networks,Canadian Policy Research Networks,grid.440076.1,,https://en.wikipedia.org/wiki/Canadian_Policy_Research_Networks
inova fairfax hospital,Inova Fairfax Hospital,grid.417781.c,,https://en.wikipedia.org/wiki/Inova_Fairfax_Hospital
north american membrane society,North American Membrane Society,grid.481036.8,,https://en.wikipedia.org/wiki/North_American_Membrane_Society
workers compensation board of british columbia,Workers Compensation Board of British Columbia,grid.468483.5,,https://en.wikipedia.org/wiki/WorkSafeBC
government vellore medical college,Government Vellore Medical College,grid.468881.b,,https://en.wikipedia.org/wiki/Government_Vellore_Medical_College
jerusalem university college,Jerusalem University College,grid.460997.5,,https://en.wikipedia.org/wiki/Jerusalem_University_College
saint charles borromeo seminary,Saint Charles Borromeo Seminary,grid.465669.e,,https://en.wikipedia.org/wiki/St._Charles_Borromeo_Seminary
russian state library,Russian State Library,grid.462756.4,,https://en.wikipedia.org/wiki/Russian_State_Library
agricultural university of havana,Agricultural University of Havana,grid.441346.0,,https://en.wikipedia.org/wiki/Agricultural_University_of_Havana
new york state office for people with developmental disabilities,New York State Office for People With Developmental Disabilities,grid.420001.7,,https://en.wikipedia.org/wiki/Office_for_Persons_with_Developmental_Disabilities
phoenix seminary,Phoenix Seminary,grid.465576.3,,https://en.wikipedia.org/wiki/Phoenix_Seminary
trieste astronomical observatory,Trieste Astronomical Observatory,grid.462980.1,,https://en.wikipedia.org/wiki/Trieste_Astronomical_Observatory
cecil college,Cecil College,grid.462159.d,,https://en.wikipedia.org/wiki/Cecil_College
care institute of medical sciences,Care Institute of Medical Sciences,grid.488743.4,,"https://en.wikipedia.org/wiki/Care_Institute_of_Medical_Sciences_(CIMS),_Ahmedabad"
lakeshore general hospital,Lakeshore General Hospital,grid.460692.f,,https://en.wikipedia.org/wiki/Lakeshore_General_Hospital
islamic azad university of kermanshah,Islamic Azad University of Kermanshah,grid.472625.0,,https://en.wikipedia.org/wiki/Islamic_Azad_University_of_Kermanshah
congressional black caucus foundation,Congressional Black Caucus Foundation,grid.475030.5,,https://en.wikipedia.org/wiki/Congressional_Black_Caucus_Foundation
mease dunedin hospital,Mease Dunedin Hospital,grid.461563.3,,https://en.wikipedia.org/wiki/Mease_Dunedin_Hospital
alcohol and drug foundation,Alcohol and Drug Foundation,grid.473860.e,,https://en.wikipedia.org/wiki/Australian_Drug_Foundation
baghdad college of economic sciences university,Baghdad College of Economic Sciences University,grid.460865.9,,https://en.wikipedia.org/wiki/Baghdad_College_for_Economic_Sciences_University
palace museum,Palace Museum,grid.488153.3,,https://en.wikipedia.org/wiki/Palace_museum
captain james a lovell federal health care center,Captain James A. Lovell Federal Health Care Center,grid.417090.b,,https://en.wikipedia.org/wiki/Captain_James_A._Lovell_Federal_Health_Care_Center
academic center for education culture and research,"Academic Center for Education, Culture and Research",grid.417689.5,,"https://en.wikipedia.org/wiki/Academic_Center_for_Education,_Culture_and_Research"
mvv energie,MVV Energie,grid.425946.8,,https://en.wikipedia.org/wiki/MVV_Energie
st andrew s college aurora,"St. Andrew's College, Aurora",,https://www.sac.on.ca/,"http://en.wikipedia.org/wiki/St._Andrew's_College,_Aurora"
institute of ismaili studies,Institute of Ismaili Studies,grid.462409.d,http://www.iis.ac.uk/,http://en.wikipedia.org/wiki/Institute_of_Ismaili_Studies
university of mosul,University of Mosul,grid.411848.0,http://www.uomosul.edu.iq/,http://en.wikipedia.org/wiki/University_of_Mosul
indonesian institute of sciences,Indonesian Institute of Sciences,grid.249566.a,http://lipi.go.id/,http://en.wikipedia.org/wiki/Indonesian_Institute_of_Sciences
victor chang cardiac research institute,Victor Chang Cardiac Research Institute,grid.1057.3,http://www.victorchang.org.au/,http://en.wikipedia.org/wiki/Victor_Chang_Cardiac_Research_Institute
oecd development centre,OECD Development Centre,,http://www.oecd.org/fr/dev/,http://en.wikipedia.org/wiki/OECD_Development_Centre
telecom egypt,Telecom Egypt,,http://te.eg/,http://en.wikipedia.org/wiki/Telecom_Egypt
centre for studies in social sciences,Centre for Studies in Social Sciences,,http://www.cssscal.org/,http://es.wikipedia.org/wiki/index.html?curid=3308514
kyoto prefectural university of medicine,Kyoto Prefectural University of Medicine,grid.272458.e,http://www.kpu-m.ac.jp/doc/english/index.html,http://en.wikipedia.org/wiki/Kyoto_Prefectural_University_of_Medicine
roanoke college,Roanoke College,grid.419211.e,http://www.roanoke.edu/,http://en.wikipedia.org/wiki/Roanoke_College
endangered wildlife trust,Endangered Wildlife Trust,grid.452361.7,https://www.ewt.org.za/contact.html,http://en.wikipedia.org/wiki/Endangered_Wildlife_Trust
sabic,SABIC,grid.481630.8,http://www.sabic.com/,http://en.wikipedia.org/wiki/SABIC
ramkhamhaeng university,Ramkhamhaeng University,grid.412660.7,http://www.ru.ac.th/,http://en.wikipedia.org/wiki/Ramkhamhaeng_University
ataturk university,Atatürk University,grid.411445.1,http://www.atauni.edu.tr/,http://en.wikipedia.org/wiki/Atatürk_University
glasgow dental hospital and school,Glasgow Dental Hospital and School,,http://www.gla.ac.uk/schools/dental/,http://en.wikipedia.org/wiki/Glasgow_Dental_Hospital_and_School
atomic energy of canada limited,Atomic Energy of Canada Limited,grid.24046.34,http://www.aecl.ca/,http://en.wikipedia.org/wiki/Atomic_Energy_of_Canada_Limited
frankfurt school of finance management,Frankfurt School of Finance & Management,grid.461612.6,http://www.frankfurt-school.de/content/en,http://en.wikipedia.org/wiki/Frankfurt_School_of_Finance_&_Management
universidade federal do abc,Universidade Federal do ABC,grid.412368.a,http://www.ufabc.edu.br/,http://en.wikipedia.org/wiki/Federal_University_of_ABC
university of tikrit,University of Tikrit,grid.442858.7,http://www.tu.edu.iq/,http://en.wikipedia.org/wiki/University_of_Tikrit
universidade federal rural do semi arido,Universidade Federal Rural do Semi-Árido,grid.412393.e,http://www.ufersa.edu.br/,http://en.wikipedia.org/wiki/Federal_Rural_University_of_the_Semi-arid_Region
dankook university,Dankook University,grid.411982.7,http://www.dankook.ac.kr/,http://en.wikipedia.org/wiki/Dankook_University
american science and engineering inc,"American Science and Engineering, Inc.",,http://www.as-e.com/,http://en.wikipedia.org/wiki/American_Science_and_Engineering
atomic energy organization of iran,Atomic Energy Organization of Iran,grid.459846.2,http://www.aeoi.org.ir/,http://en.wikipedia.org/wiki/Atomic_Energy_Organization_of_Iran
electricite de france,Électricité de France,,http://www.edf.com/,http://en.wikipedia.org/wiki/Électricité_de_France
sydney technical college,Sydney Technical College,,,http://en.wikipedia.org/wiki/Sydney_Technical_College
william mitchell college of law,William Mitchell College of Law,,http://mitchellhamline.edu/,http://en.wikipedia.org/wiki/William_Mitchell_College_of_Law
utah state university,Utah State University,grid.53857.3c,http://www.usu.edu/,http://en.wikipedia.org/wiki/Utah_State_University
bhagalpur college of engineering,Bhagalpur College of Engineering,,http://www.bcebhagalpur.ac.in/,http://en.wikipedia.org/wiki/Bhagalpur_College_of_Engineering
decisive analytics corporation,Decisive Analytics Corporation,grid.455434.7,http://www.dac.us/,http://en.wikipedia.org/wiki/Decisive_Analytics_Corporation
south texas college,South Texas College,grid.469162.e,http://www.southtexascollege.edu/,http://en.wikipedia.org/wiki/South_Texas_College
wimbledon college of art,Wimbledon College of Art,,http://www.arts.ac.uk/wimbledon,http://en.wikipedia.org/wiki/Wimbledon_College_of_Art
tuscia university,Tuscia University,grid.12597.38,http://www.unitus.it/,http://en.wikipedia.org/wiki/Tuscia_University
maersk drilling,Maersk Drilling,,http://www.maerskdrilling.com/,http://en.wikipedia.org/wiki/Maersk_Drilling
industrial technology research institute,Industrial Technology Research Institute,grid.481662.f,http://www.itri.org.tw/,http://en.wikipedia.org/wiki/Industrial_Technology_Research_Institute
shandong foreign languages vocational college,Shandong Foreign Languages Vocational College,,http://www.sdflc.com/,http://en.wikipedia.org/wiki/Shandong_Foreign_Languages_Vocational_College
burnet institute,Burnet Institute,grid.1056.2,http://www.burnet.edu.au/,http://en.wikipedia.org/wiki/Burnet_Institute
ohio northern university,Ohio Northern University,grid.261323.7,http://www.onu.edu/,http://en.wikipedia.org/wiki/Ohio_Northern_University
reims university,Reims University,,,http://en.wikipedia.org/wiki/Reims_University
monroe college,Monroe College,grid.454638.8,http://www.monroecollege.edu/,http://en.wikipedia.org/wiki/Monroe_College
calcutta mathematical society,Calcutta Mathematical Society,,http://www.calmathsoc.org/,http://en.wikipedia.org/wiki/Calcutta_Mathematical_Society
busan national university of education,Busan National University of Education,grid.444042.2,https://web.archive.org/web/20041211151242/http://www.bnue.ac.kr/,http://en.wikipedia.org/wiki/Busan_National_University_of_Education
electric power development company,Electric Power Development Company,grid.467368.8,http://www.jpower.co.jp/english/,http://en.wikipedia.org/wiki/Electric_Power_Development_Company
wellcome trust centre for neuroimaging,Wellcome Trust Centre for Neuroimaging,grid.450002.3,http://www.fil.ion.ucl.ac.uk/,http://en.wikipedia.org/wiki/Wellcome_Trust_Centre_for_Neuroimaging
simcyp,Simcyp,,http://www.simcyp.com/,http://en.wikipedia.org/wiki/Simcyp
illumina,Illumina,grid.185669.5,http://www.illumina.com/,http://en.wikipedia.org/wiki/Illumina_(company)
mailam engineering college,Mailam Engineering College,,http://www.mailamengg.com/,http://en.wikipedia.org/wiki/Mailam_Engineering_College
technological educational institute of the ionian islands,Technological Educational Institute of the Ionian Islands,grid.462914.c,http://www.teiion.gr/,http://en.wikipedia.org/wiki/Technological_Educational_Institute_of_the_Ionian_Islands
dalian medical university,Dalian Medical University,grid.411971.b,http://www.dlmedu.edu.cn/,http://en.wikipedia.org/wiki/Dalian_Medical_University
new york college of podiatric medicine,New York College of Podiatric Medicine,grid.419996.a,http://www.nycpm.edu/,http://en.wikipedia.org/wiki/New_York_College_of_Podiatric_Medicine
national institute for environmental studies,National Institute for Environmental Studies,grid.140139.e,http://www.nies.go.jp/index.html,http://en.wikipedia.org/wiki/National_Institute_for_Environmental_Studies
aarhus university,Aarhus University,grid.7048.b,http://www.au.dk/en,http://en.wikipedia.org/wiki/Aarhus_University
state university of para,State University of Pará,grid.442052.5,http://www.uepa.br/,http://en.wikipedia.org/wiki/Pará_State_University
bangabandhu sheikh mujibur rahman agricultural university,Bangabandhu Sheikh Mujibur Rahman Agricultural University,grid.443108.a,http://bsmrau.edu.bd/,http://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Agricultural_University
national taiwan university of physical education and sport,National Taiwan University of Physical Education and Sport,,http://english.camel.ntupes.edu.tw/front/bin/home.phtml,http://en.wikipedia.org/wiki/National_Taiwan_University_of_Physical_Education_and_Sport
bp canada,BP Canada,grid.450508.c,http://www.bp.com/en/global/corporate/about-bp/bp-worldwide/bp-in-canada.html,http://en.wikipedia.org/wiki/BP_Canada
premier oil,Premier Oil,,http://www.premier-oil.com/,http://en.wikipedia.org/wiki/Premier_Oil
dravidian university,Dravidian University,grid.444543.6,http://www.dravidianuniversity.ac.in/,http://en.wikipedia.org/wiki/Dravidian_University
international association for the advancement of space safety,International Association for the Advancement of Space Safety,,http://www.iaass.space-safety.org/,http://en.wikipedia.org/wiki/International_Association_for_the_Advancement_of_Space_Safety
gulf coast state college,Gulf Coast State College,grid.468927.6,http://www.gulfcoast.edu/,http://en.wikipedia.org/wiki/Gulf_Coast_State_College
commonwealth associates inc,"Commonwealth Associates, Inc.",,http://www.cai-engr.com/,"http://en.wikipedia.org/wiki/Commonwealth_Associates,_Inc."
rhode island department of corrections,Rhode Island Department of Corrections,,http://www.doc.ri.gov/,http://en.wikipedia.org/wiki/Rhode_Island_Department_of_Corrections
shell canada limited,Shell Canada Limited,grid.410437.5,http://www.shell.ca/,http://en.wikipedia.org/wiki/Shell_Canada
kulicke and soffa industries inc,"Kulicke and Soffa Industries, Inc.",,http://www.kns.com/,http://ru.wikipedia.org/wiki/index.html?curid=3531718
musee du quai branly,Musée du quai Branly,,http://www.quaibranly.fr/,http://en.wikipedia.org/wiki/Musée_du_quai_Branly
apress,Apress,,http://www.apress.com/,http://en.wikipedia.org/wiki/Apress
ministry for the environment,Ministry for the Environment,grid.467685.e,http://www.mfe.govt.nz/,http://en.wikipedia.org/wiki/Ministry_for_the_Environment_(New_Zealand)
mental research institute,Mental Research Institute,grid.487645.c,https://mri.org/,http://en.wikipedia.org/wiki/Mental_Research_Institute
sea turtle conservancy,Sea Turtle Conservancy,grid.453460.0,http://www.conserveturtles.org/,http://en.wikipedia.org/wiki/Sea_Turtle_Conservancy
council on education for public health,Council on Education for Public Health,,http://www.ceph.org/,http://en.wikipedia.org/wiki/Council_on_Education_for_Public_Health
brotherhood of st laurence,Brotherhood of St Laurence,grid.468405.b,https://www.bsl.org.au/,http://en.wikipedia.org/wiki/Brotherhood_of_St_Laurence
swedish ministry of finance,Swedish Ministry of Finance,,http://www.government.se/,http://en.wikipedia.org/wiki/Ministry_of_Finance_(Sweden)
subaru,Subaru,,http://www.subaru-global.com/,http://en.wikipedia.org/wiki/Subaru
united states chamber of commerce,United States Chamber of Commerce,grid.475376.4,http://www.uschamber.com/,http://en.wikipedia.org/wiki/United_States_Chamber_of_Commerce
italian ministry of public education,Italian Ministry of Public Education,,http://www.pubblica.istruzione.it/,http://en.wikipedia.org/wiki/Ministry_of_Public_Education_(Italy)
infectious diseases society of america,Infectious Diseases Society of America,grid.435069.d,,https://en.wikipedia.org/wiki/Infectious_Diseases_Society_of_America
capital regional district,Capital Regional District,grid.414020.3,,http://en.wikipedia.org/wiki/Capital_Regional_District
san diego county library,San Diego County Library,grid.475652.7,,https://en.wikipedia.org/wiki/San_Diego_County_Library
dominican house of studies,Dominican House of Studies,grid.462106.7,,https://en.wikipedia.org/wiki/Dominican_House_of_Studies
cork county council,Cork County Council,grid.433415.4,,https://en.wikipedia.org/wiki/Cork_County_Council
asthma and allergy foundation of america,Asthma and Allergy Foundation of America,grid.431844.e,,https://en.wikipedia.org/wiki/Asthma_and_Allergy_Foundation_of_America
allgemeiner deutscher automobil club,Allgemeiner Deutscher Automobil Club,grid.432059.9,,https://en.wikipedia.org/wiki/ADAC
rockingham community college,Rockingham Community College,grid.462762.3,,https://en.wikipedia.org/wiki/Rockingham_Community_College
berlin zoological garden,Berlin Zoological Garden,grid.483709.1,,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden
radford university college,Radford University College,grid.473448.8,,https://en.wikipedia.org/wiki/Radford_University_College_Ghana
abat oliba ceu university,Abat Oliba CEU University,grid.448532.c,,https://en.wikipedia.org/wiki/Abat_Oliba_CEU_University
espace pour la vie,Espace pour la vie,grid.435650.1,,https://en.wikipedia.org/wiki/Space_for_Life
scottish qualifications authority,Scottish Qualifications Authority,grid.437920.b,,https://en.wikipedia.org/wiki/Scottish_Qualifications_Authority
nashua community college,Nashua Community College,grid.462633.6,,https://en.wikipedia.org/wiki/Nashua_Community_College
illinois state historical society,Illinois State Historical Society,grid.446987.0,,https://en.wikipedia.org/wiki/Illinois_State_Historical_Society
gower college swansea,Gower College Swansea,grid.462363.6,,https://en.wikipedia.org/wiki/Gower_College_Swansea
wind italy,Wind (Italy),grid.439264.e,,https://en.wikipedia.org/wiki/WIND_(Italy)
freeman hospital,Freeman Hospital,grid.415050.5,,https://en.wikipedia.org/wiki/Freeman_Hospital
quality meat scotland,Quality Meat Scotland,grid.437571.3,,https://en.wikipedia.org/wiki/Quality_Meat_Scotland
california miramar university,California Miramar University,grid.468739.7,,https://en.wikipedia.org/wiki/California_Miramar_University
lancaster royal grammar school,Lancaster Royal Grammar School,grid.484421.f,,https://en.wikipedia.org/wiki/Lancaster_Royal_Grammar_School
office of public health and science,Office of Public Health and Science,grid.453185.e,,https://en.wikipedia.org/wiki/Office_of_Public_Health_and_Science
larkin community hospital,Larkin Community Hospital,grid.415823.9,,https://en.wikipedia.org/wiki/Larkin_Community_Hospital
yale cancer center,Yale Cancer Center,grid.433818.5,,https://en.wikipedia.org/wiki/Yale_Cancer_Center
royal town planning institute,Royal Town Planning Institute,grid.421625.6,,https://en.wikipedia.org/wiki/Royal_Town_Planning_Institute
aberystwyth university,Aberystwyth University,grid.8186.7,http://www.aber.ac.uk/,http://en.wikipedia.org/wiki/Aberystwyth_University
kassala university,Kassala University,grid.412060.1,http://kassalauni.edu.sd/en/,http://en.wikipedia.org/wiki/Kassala_University
university of anbar,University of Anbar,grid.440827.d,http://www.uoanbar.edu.iq/English/index.php,http://en.wikipedia.org/wiki/University_of_Anbar
york college of pennsylvania,York College of Pennsylvania,grid.433833.c,http://www.ycp.edu/,http://en.wikipedia.org/wiki/York_College_of_Pennsylvania
tiffany co,Tiffany & Co.,,http://www.tiffany.com/,http://en.wikipedia.org/wiki/Tiffany_&_Co.
gongju national university of education,Gongju National University of Education,grid.443775.6,http://eng.gjue.ac.kr/,http://en.wikipedia.org/wiki/Gongju_National_University_of_Education
yashoda hospitals,Yashoda Hospitals,,https://www.yashodahospitals.com/,http://en.wikipedia.org/wiki/Yashoda_Hospitals
china center of advanced science and technology,China Center of Advanced Science and Technology,grid.464262.0,http://www.ccast.ac.cn/,http://en.wikipedia.org/wiki/China_Center_of_Advanced_Science_and_Technology
archelon the sea turtle protection society of greece,"ARCHELON, the Sea Turtle Protection Society of Greece",,,"http://en.wikipedia.org/wiki/ARCHELON,_the_Sea_Turtle_Protection_Society_of_Greece"
kamineni institute of medical sciences,Kamineni Institute of Medical Sciences,,http://www.kimsmedicalcollege.org/,http://en.wikipedia.org/wiki/Kamineni_Institute_of_Medical_Sciences
southern california gas company,Southern California Gas Company,,http://www.socalgas.com/,http://en.wikipedia.org/wiki/Southern_California_Gas_Company
nevada system of higher education,Nevada System of Higher Education,grid.298261.6,http://system.nevada.edu/,http://en.wikipedia.org/wiki/Nevada_System_of_Higher_Education
national changhua university of education,National Changhua University of Education,grid.412038.c,http://www.ncue.edu.tw//,http://en.wikipedia.org/wiki/National_Changhua_University_of_Education
ensait,ENSAIT,grid.434225.6,http://www.ensait.fr/,http://en.wikipedia.org/wiki/ENSAIT
epic systems,Epic Systems,grid.466656.1,http://www.epic.com/,http://en.wikipedia.org/wiki/Epic_Systems
institute for reference materials and measurements,Institute for Reference Materials and Measurements,,https://ec.europa.eu/jrc/institutes/irmm/,http://en.wikipedia.org/wiki/Institute_for_Reference_Materials_and_Measurements
chitkara university,Chitkara University,grid.428245.d,http://www.chitkara.edu.in/,"http://en.wikipedia.org/wiki/Chitkara_University,_Kallujhanda"
university of arkansas for medical sciences,University of Arkansas for Medical Sciences,grid.241054.6,http://www.uams.edu/,http://en.wikipedia.org/wiki/University_of_Arkansas_for_Medical_Sciences
de la salle university dasmarinas,De La Salle University – Dasmariñas,grid.464511.3,http://www.dlsud.edu.ph/,http://en.wikipedia.org/wiki/De_La_Salle_University_–_Dasmariñas
jozef pilsudski university of physical education in warsaw,Józef Piłsudski University of Physical Education in Warsaw,grid.449495.1,http://www.awf.edu.pl/,http://en.wikipedia.org/wiki/Józef_Piłsudski_University_of_Physical_Education_in_Warsaw
fuzhou university,Fuzhou University,grid.411604.6,http://www.fzu.edu.cn/,http://en.wikipedia.org/wiki/Fuzhou_University
kanazawa college of art,Kanazawa College of Art,grid.444029.f,http://www.kanazawa-bidai.ac.jp/,http://en.wikipedia.org/wiki/Kanazawa_College_of_Art
whu otto beisheim school of management,WHU - Otto Beisheim School of Management,grid.454339.c,http://www.whu.edu/,http://en.wikipedia.org/wiki/WHU-Otto_Beisheim_School_of_Management
ucb,UCB,grid.491529.2,http://www.ucb.com/,http://en.wikipedia.org/wiki/UCB_(company)
state university of new york college of optometry,State University of New York College of Optometry,,http://www.sunyopt.edu/,http://en.wikipedia.org/wiki/State_University_of_New_York_College_of_Optometry
school for advanced studies in the social sciences,School for Advanced Studies in the Social Sciences,grid.17673.34,http://www.ehess.fr/en,http://en.wikipedia.org/wiki/School_for_Advanced_Studies_in_the_Social_Sciences
university of warwick science park,University of Warwick Science Park,,http://www.uwsp.co.uk/,http://en.wikipedia.org/wiki/University_of_Warwick_Science_Park
dundalk institute of technology,Dundalk Institute of Technology,grid.418613.9,http://www.dkit.ie/,http://en.wikipedia.org/wiki/Dundalk_Institute_of_Technology
danish institute for human rights,Danish Institute for Human Rights,grid.480637.e,http://menneskeret.dk/,http://en.wikipedia.org/wiki/Danish_Institute_for_Human_Rights
rowett research institute,Rowett Research Institute,,,http://en.wikipedia.org/wiki/Rowett_Research_Institute
edmund mach foundation,Edmund Mach Foundation,grid.424414.3,http://fmach.it/,http://en.wikipedia.org/wiki/Edmund_Mach_Foundation
centria university of applied sciences,Centria University of Applied Sciences,grid.445618.a,http://www.centria.fi/,http://en.wikipedia.org/wiki/Centria_University_of_Applied_Sciences
banca d italia,Banca d'Italia,,http://www.bancaditalia.it/,http://en.wikipedia.org/wiki/Banca_d'Italia
bavarian academy of sciences and humanities,Bavarian Academy of Sciences and Humanities,grid.423977.c,http://www.badw.de/,http://en.wikipedia.org/wiki/Bavarian_Academy_of_Sciences_and_Humanities
government college of engineering amravati,"Government College of Engineering, Amravati",,http://www.gcoea.ac.in/,"http://en.wikipedia.org/wiki/Government_College_of_Engineering,_Amravati"
benedictine university,Benedictine University,grid.252950.9,http://www.ben.edu/,http://en.wikipedia.org/wiki/Benedictine_University
american industrial hygiene association,American Industrial Hygiene Association,,http://www.aiha.org/,http://en.wikipedia.org/wiki/American_Industrial_Hygiene_Association
