Key, Aliases
aalborg university,aalborg university
university of copenhagen,"aalborg university copenhagen,university of copenhagen"
aalborg university esbjerg,aalborg university esbjerg
aalesund university college,aalesund university college
aalto university,"aalto university,aalto university school of business,aalto university school of electrical engineering,aalto university school of science"
aarhus school of architecture,aarhus school of architecture
aarhus university,"aarhus university,aarhus university business and social sciences"
abant izzet baysal university,abant izzet baysal university
abb ltd,abb ltd
abdelmalek essaâdi university,abdelmalek essaâdi university
abdullah gul university,abdullah gul university
abertawe bro morgannwg university health board,abertawe bro morgannwg university health board
abertay university,abertay university
aberystwyth university,aberystwyth university
abm industries,abm industries
abo akademi university,abo akademi university
abu dhabi university,abu dhabi university
academia sinica,academia sinica
academy of arts in tirana,academy of arts in tirana
academy of athens,academy of athens
academy of engineering,academy of engineering
academy of fine arts helsinki,academy of fine arts helsinki
academy of finland,academy of finland
academy of medical sciences united kingdom,academy of medical sciences united kingdom
academy of sciences of the czech republic,academy of sciences of the czech republic
academyhealth,academyhealth
acadia university,acadia university
accenture,accenture
acciona,acciona
acharya nagarjuna university,acharya nagarjuna university
acropolis institute of technology research,acropolis institute of technology research
actel,actel
actelion,actelion
activision blizzard,activision blizzard
acxiom,acxiom
adacore,adacore
adam mickiewicz university in poznan,adam mickiewicz university in poznan
adams state university,adams state university
adana science and technology university,adana science and technology university
addis ababa university,addis ababa university
adelphi university,adelphi university
adept technology,adept technology
adhiyamaan college of engineering,adhiyamaan college of engineering
adidas,adidas
aditya engineering college,aditya engineering college
adler planetarium,adler planetarium
adobe systems,adobe systems
adolfo ibanez university,adolfo ibanez university
adria airways,adria airways
adva optical networking,adva optical networking
advanced chemistry development,advanced chemistry development
advanced concepts team,advanced concepts team
advanced info service,advanced info service
advanced institute of industrial technology,advanced institute of industrial technology
advanced micro devices,advanced micro devices
advanced technologies center,advanced technologies center
advanced technology center,advanced technology center
advantest,advantest
advertising specialty institute,advertising specialty institute
aecom,aecom
aeronautica,aeronautica
aerovironment,aerovironment
aes corporation,aes corporation
affymetrix,affymetrix
africa university,africa university
aga khan university,aga khan university
agency for healthcare research and quality,agency for healthcare research and quality
agency for science technology and research,agency for science technology and research
agere systems,agere systems
agfa gevaert,agfa gevaert
agh university of science and technology,agh university of science and technology
agilent technologies,agilent technologies
agnico eagle mines limited,agnico eagle mines limited
agricultural applied economics association,agricultural applied economics association
agricultural bank of china,agricultural bank of china
agricultural research service,agricultural research service
agricultural university of athens,agricultural university of athens
agriculture and agri food canada,agriculture and agri food canada
agrium,agrium
agro paristech,agro paristech
agustawestland,agustawestland
ahmedabad university,ahmedabad university
ahram canadian university,ahram canadian university
ahsanullah university of science and technology,ahsanullah university of science and technology
aicas,aicas
aichi institute of technology,aichi institute of technology
aichi medical university,aichi medical university
aichi prefectural university,aichi prefectural university
aichi shukutoku university,aichi shukutoku university
aichi university of education,aichi university of education
aichi university of technology,aichi university of technology
aiken technical college,aiken technical college
aims community college,aims community college
ain shams university,ain shams university
aino university,aino university
air force institute of technology,air force institute of technology
air force research laboratory,air force research laboratory
air france,air france
air products chemicals,air products chemicals
air university,air university
airbus,airbus
airbus defence and space,airbus defence and space
airbus group,airbus group
airbus operations s a s,airbus operations s a s
aix marseille university,aix marseille university
ajman university of science and technology,ajman university of science and technology
ajou university,ajou university
akamai technologies,akamai technologies
akdeniz university,akdeniz university
akita prefectural university,akita prefectural university
akita university,akita university
aksaray university,aksaray university
al ahliyya amman university,al ahliyya amman university
al ain university of science and technology,al ain university of science and technology
al akhawayn university,al akhawayn university
al al bayt university,al al bayt university
al aqsa university,al aqsa university
al azhar university,al azhar university
al baha university,al baha university
al balqa applied university,al balqa applied university
al ghurair university,al ghurair university
al hussein bin talal university,al hussein bin talal university
al quds university,al quds university
al yamamah private university,al yamamah private university
al zaytoonah university of jordan,al zaytoonah university of jordan
alagappa university,alagappa university
albanian mobile communications,albanian mobile communications
albany college of pharmacy and health sciences,albany college of pharmacy and health sciences
albany medical college,albany medical college
albany molecular research inc,albany molecular research inc
albert einstein college of medicine,albert einstein college of medicine
albert schweitzer hospital,albert schweitzer hospital
alberta health services,alberta health services
albion college,albion college
alcatel lucent,alcatel lucent
alcatel vacuum technology,alcatel vacuum technology
alcorn state university,alcorn state university
alenia aeronautica,alenia aeronautica
alenia marconi systems,alenia marconi systems
aletheia university,aletheia university
alexander fleming biomedical sciences research center,alexander fleming biomedical sciences research center
alexander technological educational institute of thessaloniki,alexander technological educational institute of thessaloniki
alexandria university,"alexandria university,faculty of science alexandria university"
alexandru ioan cuza university,alexandru ioan cuza university
alfa,alfa
alfaisal university,alfaisal university
alfred i dupont hospital for children,alfred i dupont hospital for children
alfred renyi institute of mathematics,alfred renyi institute of mathematics
alfred university,alfred university
algoma university,algoma university
algorithmics inc,algorithmics inc
alhosn university,alhosn university
aliah university,aliah university
alibaba group,alibaba group
aligarh muslim university,aligarh muslim university
alion science and technology,alion science and technology
all india institute of medical sciences,all india institute of medical sciences
all nippon airways,all nippon airways
allahabad university,allahabad university
allegheny college,allegheny college
allen institute for brain science,allen institute for brain science
alliance university,alliance university
allianz,allianz
alma college,alma college
alpen adria universitat klagenfurt,alpen adria universitat klagenfurt
brown university,"alpert medical school,brown university"
alpha natural resources,alpha natural resources
alstom,alstom
altana,altana
altarum institute,altarum institute
altec lansing,altec lansing
altera,altera
altran,altran
alzahra university,alzahra university
alzheimer s association,alzheimer s association
amateur athletic union,amateur athletic union
amazon com,amazon com
web service,amazon web services
ambedkar institute of advanced communication technologies and research,ambedkar institute of advanced communication technologies and research
american academy of arts and sciences,american academy of arts and sciences
american academy of child and adolescent psychiatry,american academy of child and adolescent psychiatry
american academy of family physicians,american academy of family physicians
american academy of pediatrics,american academy of pediatrics
american airlines,american airlines
american association for the advancement of science,american association for the advancement of science
american association of colleges of pharmacy,american association of colleges of pharmacy
american bar association,american bar association
american board of family medicine,american board of family medicine
american board of legal medicine,american board of legal medicine
american board of ophthalmology,american board of ophthalmology
american bureau of shipping,american bureau of shipping
american cancer society,american cancer society
