KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
csfw,CSF,security,,conference,IEEE Computer Security Foundations,https://dblp.uni-trier.de/db/conf/csfw/,2019
csur,CSUR,other,,journal,ACM Computing Surveys,https://dblp.uni-trier.de/db/journals/csur/,2019
cvpr,CVPR,artificial intelligence,vision,conference,IEEE Conference on Computer Vision and Pattern Recognition,https://dblp.uni-trier.de/db/conf/cvpr/,2019
dac,DAC,other,,conference,Digital Arts and Culture,https://dblp.uni-trier.de/db/conf/dac/,2019
datamine,DATAMINE,data mining,,journal,Knowledge Discovery and Data Mining,https://dblp.uni-trier.de/db/journals/datamine/,2019
date,DATE,systems,"design automation,verification",conference,Design Automation and Test in Europe Conference,https://dblp.uni-trier.de/db/conf/date/,2019
dcoss,DCOSS,systems,"distributed systems,embedded & real time",conference,IEEE International Conference on Distributed Computing in Sensor Systems,https://dblp.uni-trier.de/db/conf/dcoss/,2019
ddecs,DDECS,circuits,design automation,conference,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,https://dblp.uni-trier.de/db/conf/ddecs/,2019
digitel,DIGITEL,other,,conference,IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning,https://dblp.uni-trier.de/db/conf/digitel/,2019
disc,DISC,systems,distributed systems,conference,International Symposium on Distributed Computing,https://dblp.org/db/conf/wdag/,2019
dt,DT,design automation,"circuits, systems",journal,IEEE Design & Test of Computers,https://dblp.uni-trier.de/db/journals/dt/,2019
ecai,ECAI,artificial intelligence,,conference,Europeon Conference on Artificial Intelligence,https://dblp.uni-trier.de/db/conf/ecai/,2019
eccv,ECCV,artificial intelligence,vision,conference,European Conference on Computer Vision,https://dblp.uni-trier.de/db/conf/eccv/,2019
ecoop,ECOOP,systems,programming languages,conference,European Conference on Object Oriented Programming,https://dblp.uni-trier.de/db/conf/ecoop/,2019
edbt,EDBT,databases,,conference,Extending Database Technology,https://dblp.uni-trier.de/db/conf/edbt/,2019
edcc,EDCC,systems,,conference,European Dependable Computing Conference,https://dblp.uni-trier.de/db/conf/edcc/,2019
emnlp,EMNLP,artificial intelligence,natural language processing,conference,Empirical Methods in Natural Language Processing,https://dblp.uni-trier.de/db/conf/emnlp/,2019
